cafe_name,cafe_id,week,online_count,manual_count,percent
Nesso Café,101,4,66.0,107.0,62.0
Nesso Café,101,5,51.0,97.0,53.0
Nesso Café,101,6,18.0,156.0,12.0
Nesso Café,101,7,16.0,183.0,9.0
Nesso Café,101,8,1.0,146.0,1.0
Nesso Café,101,9,63.0,106.0,59.0
Nesso Café,101,10,5.0,144.0,3.0
Nesso Café,101,11,27.0,86.0,31.0
Nesso Café,101,17,50.0,,
Nesso Café,101,18,225.0,,
Nesso Café,101,19,163.0,,
Nesso Café,101,20,158.0,,
Nesso Café,101,21,51.0,,
Nesso Café,101,27,28.0,,
Cafélito,102,5,0.0,18.0,0.0
Taste Baguette,103,4,39.0,107.0,36.0
Taste Baguette,103,5,89.0,122.0,73.0
Taste Baguette,103,6,106.0,208.0,51.0
Taste Baguette,103,7,85.0,165.0,52.0
Taste Baguette,103,8,106.0,195.0,54.0
Taste Baguette,103,9,90.0,216.0,42.0
Taste Baguette,103,10,127.0,208.0,61.0
Taste Baguette,103,11,132.0,217.0,61.0
Church of Secular Coffee,104,4,45.0,87.0,52.0
Church of Secular Coffee,104,5,74.0,97.0,76.0
Church of Secular Coffee,104,6,63.0,154.0,41.0
Church of Secular Coffee,104,7,68.0,149.0,46.0
Church of Secular Coffee,104,8,40.0,163.0,25.0
Church of Secular Coffee,104,9,99.0,190.0,52.0
Church of Secular Coffee,104,10,64.0,175.0,37.0
Church of Secular Coffee,104,11,76.0,150.0,51.0
Swift's,105,4,19.0,34.0,56.0
Swift's,105,5,54.0,36.0,150.0
Swift's,105,6,40.0,68.0,59.0
Swift's,105,7,44.0,57.0,77.0
Swift's,105,8,46.0,65.0,71.0
Swift's,105,9,57.0,84.0,68.0
Swift's,105,10,40.0,56.0,71.0
Swift's,105,11,46.0,82.0,56.0
Supernatural Eatery,107,4,7.0,19.0,37.0
Supernatural Eatery,107,5,0.0,23.0,0.0
Supernatural Eatery,107,6,9.0,29.0,31.0
Supernatural Eatery,107,7,33.0,38.0,87.0
Supernatural Eatery,107,8,42.0,49.0,86.0
Supernatural Eatery,107,9,51.0,52.0,98.0
Supernatural Eatery,107,10,36.0,44.0,82.0
Supernatural Eatery,107,11,26.0,30.0,87.0
Script @ Jazz Club,108,4,1.0,7.0,14.0
Script @ Jazz Club,108,5,3.0,15.0,20.0
Script @ Jazz Club,108,6,6.0,24.0,25.0
Script @ Jazz Club,108,7,8.0,19.0,42.0
Script @ Jazz Club,108,8,12.0,25.0,48.0
Script @ Jazz Club,108,9,8.0,9.0,89.0
Script @ Jazz Club,108,10,6.0,12.0,50.0
Script @ Jazz Club,108,11,12.0,18.0,67.0
Café Cinque Lire,109,4,16.0,81.0,20.0
Café Cinque Lire,109,5,36.0,117.0,31.0
Café Cinque Lire,109,6,30.0,158.0,19.0
Café Cinque Lire,109,7,15.0,189.0,8.0
Café Cinque Lire,109,8,54.0,146.0,37.0
Café Cinque Lire,109,9,154.0,172.0,90.0
Café Cinque Lire,109,10,149.0,195.0,76.0
Café Cinque Lire,109,11,131.0,179.0,73.0
